15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=22620&amp;name=Abadon++">Abadon</a> defeats Charlette Renegade
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=22619&amp;name=Anna+Jay">Anna Jay</a> &amp; <a href="?id=2&amp;nr=23406&amp;name=Skye+Blue">Skye Blue</a> defeat <a href="?id=2&amp;nr=23531&amp;name=Raychell+Rose">Raychell Rose</a> &amp; <a href="?id=2&amp;nr=5376&amp;name=The+Bunny++">The Bunny</a>
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=18270&amp;name=Danielle+Kamela">Danielle Kamela</a> defeats <a href="?id=2&amp;nr=22858&amp;name=Rache+Chanel">Rache Chanel</a>
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=892&amp;name=Frankie+Kazarian">Frankie Kazarian</a>, <a href="?id=28&amp;nr=38&amp;name=The+Hardys">The Hardys</a> (<a href="?id=2&amp;nr=891&amp;name=Jeff+Hardy">Jeff Hardy</a> &amp; <a href="?id=2&amp;nr=99&amp;name=Matt+Hardy">Matt Hardy</a>) &amp; <a href="?id=28&amp;nr=2381&amp;name=Top+Flight+">Top Flight</a> (<a href="?id=2&amp;nr=20610&amp;name=Dante+Martin">Dante Martin</a> &amp; <a href="?id=2&amp;nr=19862&amp;name=Darius+Martin">Darius Martin</a>) defeat <a href="?id=2&amp;nr=8047&amp;name=Angelico">Angelico</a>, <a href="?id=2&amp;nr=19761&amp;name=Max+Caster">Max Caster</a>, <a href="?id=28&amp;nr=6318&amp;name=Private+Party">Private Party</a> (<a href="?id=2&amp;nr=18653&amp;name=Isiah+Kassidy">Isiah Kassidy</a> &amp; <a href="?id=2&amp;nr=15417&amp;name=Marq+Quen">Marq Quen</a>) &amp; <a href="?id=2&amp;nr=4307&amp;name=The+Blade+++++">The Blade</a>
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=19517&amp;name=Lee+Moriarty">Lee Moriarty</a> defeats <a href="?id=2&amp;nr=10297&amp;name=Serpentico">Serpentico</a>
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=20335&amp;name=Marina+Shafir">Marina Shafir</a> defeats <a href="?id=2&amp;nr=23564&amp;name=Alejandra+Lion">Alejandra Lion</a>
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=10334&amp;name=Penta+Oscuro">Penta Oscuro</a> defeats <a href="?id=2&amp;nr=7870&amp;name=QT+Marshall">QT Marshall</a>
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=22271&amp;name=Red+Velvet">Red Velvet</a> defeats <a href="?id=2&amp;nr=24237&amp;name=Dulce+Tormenta">Dulce Tormenta</a>
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=13732&amp;name=Keith+Lee">Keith Lee</a> &amp; <a href="?id=2&amp;nr=12703&amp;name=Swerve+Strickland">Swerve Strickland</a> defeat <a href="?id=29&amp;nr=2915&amp;name=The+Factory++">The Factory</a> (<a href="?id=2&amp;nr=9087&amp;name=Aaron+Solo">Aaron Solo</a> &amp; <a href="?id=2&amp;nr=18841&amp;name=Nick+Comoroto">Nick Comoroto</a>)
15.04.2022|All Elite Wrestling||<a href="?id=29&amp;nr=2776&amp;name=Team+Taz">Team Taz</a> (<a href="?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs">Powerhouse Hobbs</a> &amp; <a href="?id=2&amp;nr=14007&amp;name=Ricky+Starks">Ricky Starks</a>) defeat <a href="?id=29&amp;nr=2663&amp;name=The+Dark+Order">The Dark Order</a> (<a href="?id=2&amp;nr=2397&amp;name=Evil+Uno">Evil Uno</a> &amp; <a href="?id=2&amp;nr=5424&amp;name=Stu+Grayson">Stu Grayson</a>)
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=15978&amp;name=Toni+Storm">Toni Storm</a> defeats Gigi Rey
15.04.2022|All Elite Wrestling||<a href="?id=2&amp;nr=5741&amp;name=Tony+Nese">Tony Nese</a> defeats <a href="?id=2&amp;nr=9250&amp;name=JD+Griffey">JD Griffey</a>
05.03.2022|All Elite Wrestling||<a href="?id=2&amp;nr=23597&amp;name=AQA">AQA</a> defeats <a href="?id=2&amp;nr=16774&amp;name=Session+Moth+Martina">Session Moth Martina</a>
