date,promotion,match_type,match_card,match_event
27.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=17272&amp;name=Willow+Nightingale"">Willow Nightingale</a> defeats <a href=""?id=2&amp;nr=22372&amp;name=Gia+Scott"">Gia Scott</a>","<a href=""?id=1&amp;nr=341850"">AEW Dark: Elevation #61</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a> Ladder: ","<a href=""?id=2&amp;nr=293&amp;name=Scorpio+Sky"">Scorpio Sky</a> defeats <a href=""?id=2&amp;nr=15284&amp;name=Sammy+Guevara"">Sammy Guevara</a> (c) (14:06) - <span class=""MatchTitleChange"">TITLE CHANGE !!!</span>","<a href=""?id=1&amp;nr=337160"">AEW Dynamite #134</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,Owen Hart Foundation Men's Tournament Qualifying: ,"<a href=""?id=2&amp;nr=12068&amp;name=Dax+Harwood"">Dax Harwood</a> defeats <a href=""?id=2&amp;nr=7159&amp;name=Cash+Wheeler"">Cash Wheeler</a> (15:05)","<a href=""?id=1&amp;nr=337160"">AEW Dynamite #134</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,Philadelphia Street Fight: ,"<a href=""?id=2&amp;nr=3821&amp;name=Serena+Deeb"">Serena Deeb</a> defeats <a href=""?id=2&amp;nr=9462&amp;name=Hikaru+Shida"">Hikaru Shida</a> (11:40)","<a href=""?id=1&amp;nr=337160"">AEW Dynamite #134</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,Owen Hart Foundation Men's Tournament Qualifying: ,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> defeats <a href=""?id=2&amp;nr=12703&amp;name=Swerve+Strickland"">Swerve Strickland</a> (10:23)","<a href=""?id=1&amp;nr=337161"">AEW Rampage #39</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,"<a href=""?id=5&amp;nr=1272"">ROH World Television Title</a>: ","<a href=""?id=2&amp;nr=676&amp;name=Samoa+Joe"">Samoa Joe</a> (c) defeats <a href=""?id=2&amp;nr=2963&amp;name=Trent+Beretta"">Trent Beretta</a> (9:57)","<a href=""?id=1&amp;nr=337161"">AEW Rampage #39</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
27.04.2022,All Elite Wrestling,12 Man: ,"<a href=""?id=29&amp;nr=2663&amp;name=The+Dark+Order"">The Dark Order</a> (<a href=""?id=2&amp;nr=20186&amp;name=Alan+Angels"">Alan Angels</a>, <a href=""?id=2&amp;nr=6215&amp;name=Alex+Reynolds"">Alex Reynolds</a>, <a href=""?id=2&amp;nr=994&amp;name=Colt+Cabana"">Colt Cabana</a>, <a href=""?id=2&amp;nr=2397&amp;name=Evil+Uno"">Evil Uno</a>, <a href=""?id=2&amp;nr=6959&amp;name=John+Silver"">John Silver</a> &amp; <a href=""?id=2&amp;nr=20399&amp;name=Ten"">Ten</a>) defeat <a href=""?id=2&amp;nr=18100&amp;name=Anthony+Bennett"">Anthony Bennett</a>, Bret Waters, Cory Bishop, <a href=""?id=2&amp;nr=20547&amp;name=Eli+Isom"">Eli Isom</a>, <a href=""?id=2&amp;nr=21780&amp;name=Jaden+Valo"">Jaden Valo</a> &amp; <a href=""?id=2&amp;nr=17436&amp;name=Mike+Law"">Mike Law</a>","<a href=""?id=1&amp;nr=341850"">AEW Dark: Elevation #61</a> - TV-Show @ Liacouras Center in Philadelphia, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=80&amp;name=CM+Punk"">CM Punk</a> defeats <a href=""?id=2&amp;nr=917&amp;name=Dustin+Rhodes"">Dustin Rhodes</a> (17:26)","<a href=""?id=1&amp;nr=335555"">AEW Dynamite #133</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=2&amp;nr=24607&amp;name=Hook"">Hook</a> defeats <a href=""?id=2&amp;nr=8745&amp;name=Anthony+Henry"">Anthony Henry</a> (1:23)","<a href=""?id=1&amp;nr=335555"">AEW Dynamite #133</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
20.04.2022,All Elite Wrestling,,"<a href=""?id=29&amp;nr=3139&amp;name=The+Blackpool+Combat+Club"">The Blackpool Combat Club</a> (<a href=""?id=2&amp;nr=86&amp;name=Bryan+Danielson"">Bryan Danielson</a>, <a href=""?id=2&amp;nr=3940&amp;name=Jon+Moxley"">Jon Moxley</a> &amp; <a href=""?id=2&amp;nr=19733&amp;name=Wheeler+Yuta"">Wheeler Yuta</a>) defeat <a href=""?id=2&amp;nr=24354&amp;name=Brock+Anderson"">Brock Anderson</a>, <a href=""?id=2&amp;nr=20610&amp;name=Dante+Martin"">Dante Martin</a> &amp; <a href=""?id=2&amp;nr=19517&amp;name=Lee+Moriarty"">Lee Moriarty</a> (8:08)","<a href=""?id=1&amp;nr=335555"">AEW Dynamite #133</a> - TV-Show @ Petersen Events Center in Pittsburgh, Pennsylvania, USA"
