date,promotion,match_type,match_card,match_event
2021-11-13,All Elite Wrestling,"<a href=""?id=5&amp;nr=4370"">AEW Women's World Title</a>: ","<a href=""?id=2&amp;nr=17188&amp;name=Dr.+Britt+Baker+DMD"">Dr. Britt Baker DMD</a> (c) defeats <a href=""?id=2&amp;nr=18241&amp;name=Tay+Conti"">Tay Conti</a> (15:16)","<a href=""?id=1&amp;nr=313401"">AEW Full Gear 2021</a> - Pay Per View @ Target Center in Minneapolis, Minnesota, USA"
2021-11-13,All Elite Wrestling,"<a href=""?id=5&amp;nr=4392"">AEW World Tag Team Title</a>: ","<a href=""?id=28&amp;nr=7400&amp;name=The+Lucha+Brothers"">The Lucha Brothers</a> (<a href=""?id=2&amp;nr=10334&amp;name=Penta+El+Zero+Miedo"">Penta El Zero Miedo</a> &amp; <a href=""?id=2&amp;nr=10343&amp;name=Rey+Fenix++"">Rey Fenix</a>) (c) defeat <a href=""?id=28&amp;nr=5470&amp;name=FTR"">FTR</a> (<a href=""?id=2&amp;nr=7159&amp;name=Cash+Wheeler"">Cash Wheeler</a> &amp; <a href=""?id=2&amp;nr=12068&amp;name=Dax+Harwood"">Dax Harwood</a>) (18:37)","<a href=""?id=1&amp;nr=313401"">AEW Full Gear 2021</a> - Pay Per View @ Target Center in Minneapolis, Minnesota, USA"
2021-11-13,All Elite Wrestling,"<a href=""?id=5&amp;nr=4331"">AEW World Title</a>: ","<a href=""?id=2&amp;nr=11161&amp;name=Adam+Page"">Adam Page</a> defeats <a href=""?id=2&amp;nr=2906&amp;name=Kenny+Omega"">Kenny Omega</a> (c) (25:11) - <span class=""MatchTitleChange"">TITLE CHANGE !!!</span>","<a href=""?id=1&amp;nr=313401"">AEW Full Gear 2021</a> - Pay Per View @ Target Center in Minneapolis, Minnesota, USA"
2021-11-13,All Elite Wrestling,"<a href=""?id=5&amp;nr=4331"">AEW World Title</a> Eliminator Tournament Final: ","<a href=""?id=2&amp;nr=86&amp;name=Bryan+Danielson"">Bryan Danielson</a> defeats <a href=""?id=2&amp;nr=10610&amp;name=Miro"">Miro</a> by referee's decision (19:59)","<a href=""?id=1&amp;nr=313401"">AEW Full Gear 2021</a> - Pay Per View @ Target Center in Minneapolis, Minnesota, USA"
2021-11-13,All Elite Wrestling,Falls Count Anywhere: ,"<a href=""?id=2&amp;nr=820&amp;name=Christian+Cage"">Christian Cage</a> &amp; <a href=""?id=28&amp;nr=8746&amp;name=The+Jurassic+Express"">The Jurassic Express</a> (<a href=""?id=2&amp;nr=18237&amp;name=Jungle+Boy+"">Jungle Boy</a> &amp; <a href=""?id=2&amp;nr=11924&amp;name=Luchasaurus"">Luchasaurus</a>) defeat <a href=""?id=29&amp;nr=3022&amp;name=The+SuperKliq"">The SuperKliq</a> (<a href=""?id=2&amp;nr=7142&amp;name=Adam+Cole"">Adam Cole</a>, <a href=""?id=2&amp;nr=4739&amp;name=Matt+Jackson"">Matt Jackson</a> &amp; <a href=""?id=2&amp;nr=4740&amp;name=Nick+Jackson"">Nick Jackson</a>) (22:20)","<a href=""?id=1&amp;nr=313401"">AEW Full Gear 2021</a> - Pay Per View @ Target Center in Minneapolis, Minnesota, USA"
2021-11-13,All Elite Wrestling,Ten Man Tag Team Minneapolis Street Fight: ,"<a href=""?id=29&amp;nr=2569&amp;name=The+Inner+Circle"">The Inner Circle</a> (<a href=""?id=2&amp;nr=758&amp;name=Chris+Jericho"">Chris Jericho</a>, <a href=""?id=2&amp;nr=4071&amp;name=Jake+Hager"">Jake Hager</a>, <a href=""?id=2&amp;nr=12893&amp;name=Ortiz+"">Ortiz</a>, <a href=""?id=2&amp;nr=15284&amp;name=Sammy+Guevara"">Sammy Guevara</a> &amp; <a href=""?id=2&amp;nr=15052&amp;name=Santana+++"">Santana</a>) defeat <a href=""?id=29&amp;nr=3040&amp;name=American+Top+Team"">American Top Team</a> (<a href=""?id=2&amp;nr=24666&amp;name=Andrei+Arlovski"">Andrei Arlovski</a>, <a href=""?id=2&amp;nr=23458&amp;name=Dan+Lambert"">Dan Lambert</a> &amp; <a href=""?id=2&amp;nr=24632&amp;name=Junior+Dos+Santos"">Junior Dos Santos</a>) &amp; <a href=""?id=28&amp;nr=10014&amp;name=Men+Of+The+Year+"">Men Of The Year</a> (<a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a> &amp; <a href=""?id=2&amp;nr=293&amp;name=Scorpio+Sky"">Scorpio Sky</a>) (19:37)","<a href=""?id=1&amp;nr=313401"">AEW Full Gear 2021</a> - Pay Per View @ Target Center in Minneapolis, Minnesota, USA"
2021-09-05,All Elite Wrestling,,"<a href=""?id=2&amp;nr=80&amp;name=CM+Punk"">CM Punk</a> defeats <a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> (16:40)","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
2021-09-05,All Elite Wrestling,,"<a href=""?id=2&amp;nr=3940&amp;name=Jon+Moxley"">Jon Moxley</a> defeats <a href=""?id=2&amp;nr=276&amp;name=Satoshi+Kojima"">Satoshi Kojima</a> (11:52)","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
2021-09-05,All Elite Wrestling,,"<a href=""?id=2&amp;nr=712&amp;name=Paul+Wight"">Paul Wight</a> defeats <a href=""?id=2&amp;nr=7870&amp;name=QT+Marshall"">QT Marshall</a> (3:11)","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
2021-09-05,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a>: ","<a href=""?id=2&amp;nr=10610&amp;name=Miro"">Miro</a> (c) defeats <a href=""?id=2&amp;nr=902&amp;name=Eddie+Kingston"">Eddie Kingston</a> (13:22)","<a href=""?id=1&amp;nr=313040"">AEW All Out 2021</a> - Pay Per View @ NOW Arena in Hoffman Estates, Illinois, USA"
