date,promotion,match_type,match_card,match_event
2023-06-02,All Elite Wrestling,,"<a href=""?id=2&amp;nr=24607&amp;name=Hook"">Hook</a> &amp; <a href=""?id=28&amp;nr=38&amp;name=The+Hardys"">The Hardys</a> (<a href=""?id=2&amp;nr=891&amp;name=Jeff+Hardy"">Jeff Hardy</a> &amp; <a href=""?id=2&amp;nr=99&amp;name=Matt+Hardy"">Matt Hardy</a>) defeat <a href=""?id=2&amp;nr=10592&amp;name=Juice+Robinson"">Juice Robinson</a>, <a href=""?id=2&amp;nr=19255&amp;name=Kyle+Fletcher"">Kyle Fletcher</a> &amp; <a href=""?id=2&amp;nr=20399&amp;name=Preston+Vance"">Preston Vance</a>","<a href=""?id=1&amp;nr=365537"">AEW House Rules Tour</a> - House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA"
2023-06-02,All Elite Wrestling,,"<a href=""?id=2&amp;nr=61&amp;name=Jay+Lethal"">Jay Lethal</a> &amp; <a href=""?id=2&amp;nr=25702&amp;name=Satnam+Singh"">Satnam Singh</a> defeat <a href=""?id=28&amp;nr=3784&amp;name=The+Boys"">The Boys</a> (<a href=""?id=2&amp;nr=10227&amp;name=Brandon++"">Brandon</a> &amp; <a href=""?id=2&amp;nr=10228&amp;name=Brent"">Brent</a>)","<a href=""?id=1&amp;nr=365537"">AEW House Rules Tour</a> - House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA"
2023-06-02,All Elite Wrestling,,"<a href=""?id=2&amp;nr=19761&amp;name=Max+Caster"">Max Caster</a> defeats <a href=""?id=2&amp;nr=3463&amp;name=Pat+Buck"">Pat Buck</a>","<a href=""?id=1&amp;nr=365537"">AEW House Rules Tour</a> - House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA"
2023-06-02,All Elite Wrestling,,"<a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> defeats <a href=""?id=2&amp;nr=3190&amp;name=Shawn+Spears"">Shawn Spears</a>","<a href=""?id=1&amp;nr=365537"">AEW House Rules Tour</a> - House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA"
2023-06-02,All Elite Wrestling,"<a href=""?id=5&amp;nr=5224"">AEW TBS Title</a>: ","<a href=""?id=2&amp;nr=20328&amp;name=Kris+Statlander"">Kris Statlander</a> (c) defeats <a href=""?id=2&amp;nr=22619&amp;name=Anna+Jay+AS"">Anna Jay AS</a>","<a href=""?id=1&amp;nr=365537"">AEW House Rules Tour</a> - House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA"
2023-06-02,All Elite Wrestling,"<a href=""?id=5&amp;nr=4370"">AEW Women's World Title</a>: ","<a href=""?id=2&amp;nr=15978&amp;name=Toni+Storm"">Toni Storm</a> (c) defeats <a href=""?id=2&amp;nr=23406&amp;name=Skye+Blue"">Skye Blue</a>","<a href=""?id=1&amp;nr=365537"">AEW House Rules Tour</a> - House Show @ Cadence Bank Arena in Tupelo, Mississippi, USA"
2023-05-13,All Elite Wrestling,,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeat <a href=""?id=29&amp;nr=3492&amp;name=QTV"">QTV</a> (<a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> &amp; <a href=""?id=2&amp;nr=7870&amp;name=QT+Marshall"">QT Marshall</a>)","<a href=""?id=1&amp;nr=365508"">AEW House Rules Tour</a> - House Show @ Salem Civic Center in Salem, Virginia, USA"
2023-05-13,All Elite Wrestling,,"<a href=""?id=28&amp;nr=10013&amp;name=The+Gunns"">The Gunns</a> (<a href=""?id=2&amp;nr=20024&amp;name=Austin+Gunn"">Austin Gunn</a> &amp; <a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a>) defeat <a href=""?id=2&amp;nr=20065&amp;name=Brian+Pillman+Jr."">Brian Pillman Jr.</a> &amp; <a href=""?id=2&amp;nr=24354&amp;name=Brock+Anderson"">Brock Anderson</a>","<a href=""?id=1&amp;nr=365508"">AEW House Rules Tour</a> - House Show @ Salem Civic Center in Salem, Virginia, USA"
2023-05-13,All Elite Wrestling,,"<a href=""?id=2&amp;nr=15978&amp;name=Toni+Storm"">Toni Storm</a> defeats <a href=""?id=2&amp;nr=23406&amp;name=Skye+Blue"">Skye Blue</a>","<a href=""?id=1&amp;nr=365508"">AEW House Rules Tour</a> - House Show @ Salem Civic Center in Salem, Virginia, USA"
2023-05-13,All Elite Wrestling,"<a href=""?id=5&amp;nr=4578"">AEW TNT Title</a>: ","<a href=""?id=2&amp;nr=16006&amp;name=Wardlow"">Wardlow</a> (c) defeats <a href=""?id=2&amp;nr=19517&amp;name=Lee+Moriarty"">Lee Moriarty</a>","<a href=""?id=1&amp;nr=365508"">AEW House Rules Tour</a> - House Show @ Salem Civic Center in Salem, Virginia, USA"
2023-05-13,All Elite Wrestling,"<a href=""?id=5&amp;nr=4661"">FTW Title</a>: ","<a href=""?id=2&amp;nr=24607&amp;name=Hook"">Hook</a> (c) defeats <a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a>","<a href=""?id=1&amp;nr=365508"">AEW House Rules Tour</a> - House Show @ Salem Civic Center in Salem, Virginia, USA"
2023-05-13,All Elite Wrestling,No Disqualification: ,"<a href=""?id=2&amp;nr=11161&amp;name=Adam+Page"">Adam Page</a> defeats <a href=""?id=2&amp;nr=11618&amp;name=Big+Bill"">Big Bill</a>","<a href=""?id=1&amp;nr=365508"">AEW House Rules Tour</a> - House Show @ Salem Civic Center in Salem, Virginia, USA"
2023-05-13,All Elite Wrestling,"<a href=""?id=5&amp;nr=121"">ROH World Title</a>: ","<a href=""?id=2&amp;nr=257&amp;name=Claudio+Castagnoli"">Claudio Castagnoli</a> (c) defeats <a href=""?id=2&amp;nr=452&amp;name=Christopher+Daniels"">Christopher Daniels</a>","<a href=""?id=1&amp;nr=365508"">AEW House Rules Tour</a> - House Show @ Salem Civic Center in Salem, Virginia, USA"
2023-05-12,All Elite Wrestling,,"<a href=""?id=2&amp;nr=452&amp;name=Christopher+Daniels"">Christopher Daniels</a> &amp; <a href=""?id=2&amp;nr=3190&amp;name=Shawn+Spears"">Shawn Spears</a> defeat <a href=""?id=28&amp;nr=3784&amp;name=The+Boys"">The Boys</a> (<a href=""?id=2&amp;nr=10227&amp;name=Brandon++"">Brandon</a> &amp; <a href=""?id=2&amp;nr=10228&amp;name=Brent"">Brent</a>)","<a href=""?id=1&amp;nr=363935"">AEW House Rules Tour</a> - House Show @ Corbin Arena in Corbin, Kentucky, USA"
2023-05-12,All Elite Wrestling,,"<a href=""?id=2&amp;nr=18849&amp;name=Darby+Allin"">Darby Allin</a> &amp; <a href=""?id=2&amp;nr=2813&amp;name=Orange+Cassidy"">Orange Cassidy</a> defeat <a href=""?id=2&amp;nr=11618&amp;name=Big+Bill"">Big Bill</a> &amp; <a href=""?id=2&amp;nr=19517&amp;name=Lee+Moriarty"">Lee Moriarty</a>","<a href=""?id=1&amp;nr=363935"">AEW House Rules Tour</a> - House Show @ Corbin Arena in Corbin, Kentucky, USA"
2023-05-12,All Elite Wrestling,,"<a href=""?id=2&amp;nr=12277&amp;name=Powerhouse+Hobbs"">Powerhouse Hobbs</a> defeats <a href=""?id=2&amp;nr=3463&amp;name=Pat+Buck"">Pat Buck</a>","<a href=""?id=1&amp;nr=363935"">AEW House Rules Tour</a> - House Show @ Corbin Arena in Corbin, Kentucky, USA"
2023-05-12,All Elite Wrestling,,"<a href=""?id=2&amp;nr=15978&amp;name=Toni+Storm"">Toni Storm</a> defeats <a href=""?id=2&amp;nr=21403&amp;name=Billie+Starkz"">Billie Starkz</a>","<a href=""?id=1&amp;nr=363935"">AEW House Rules Tour</a> - House Show @ Corbin Arena in Corbin, Kentucky, USA"
2023-05-12,All Elite Wrestling,"<a href=""?id=5&amp;nr=4392"">AEW World Tag Team Title</a>: ","<a href=""?id=28&amp;nr=5470&amp;name=FTR"">FTR</a> (<a href=""?id=2&amp;nr=7159&amp;name=Cash+Wheeler"">Cash Wheeler</a> &amp; <a href=""?id=2&amp;nr=12068&amp;name=Dax+Harwood"">Dax Harwood</a>) (c) defeat <a href=""?id=28&amp;nr=10013&amp;name=The+Gunns"">The Gunns</a> (<a href=""?id=2&amp;nr=20024&amp;name=Austin+Gunn"">Austin Gunn</a> &amp; <a href=""?id=2&amp;nr=23125&amp;name=Colten+Gunn"">Colten Gunn</a>)","<a href=""?id=1&amp;nr=363935"">AEW House Rules Tour</a> - House Show @ Corbin Arena in Corbin, Kentucky, USA"
2023-05-12,All Elite Wrestling,"<a href=""?id=5&amp;nr=4661"">FTW Title</a>: ","<a href=""?id=2&amp;nr=24607&amp;name=Hook"">Hook</a> (c) defeats <a href=""?id=2&amp;nr=7216&amp;name=Ethan+Page"">Ethan Page</a>","<a href=""?id=1&amp;nr=363935"">AEW House Rules Tour</a> - House Show @ Corbin Arena in Corbin, Kentucky, USA"
