,date,promotion,draw,winners,winning_teams,losers,losing_teams,drawers,drawing_teams,length,location,show,gender
65,2021-12-15,All Elite Wrestling,False,Tay Conti,,Penelope Ford,,,,320,"Curtis Culwell Center in Garland, Texas, USA",AEW Rampage #20,female
66,2021-12-08,All Elite Wrestling,False,Adam Cole,,Wheeler Yuta,,,,433,"UBS Arena in Elmont, New York, USA",AEW Rampage #19,male
67,2021-12-08,All Elite Wrestling,False,Hook,,Fuego Del Sol,,,,200,"UBS Arena in Elmont, New York, USA",AEW Rampage #19,male
68,2021-12-08,All Elite Wrestling,False,"Nyla Rose,Penelope Ford,The Bunny",,"Anna Jay,Tay Conti",TayJay,,,622,"UBS Arena in Elmont, New York, USA",AEW Rampage #19,female
69,2021-12-08,All Elite Wrestling,False,"Penta El Zero Miedo,Rey Fenix",The Lucha Brothers,"Cash Wheeler,Dax Harwood",FTR,,,839,"UBS Arena in Elmont, New York, USA",AEW Rampage #19,male
70,2021-12-01,All Elite Wrestling,False,"Cash Wheeler,Dax Harwood",FTR,"PAC,Penta El Zero Miedo",Death Triangle,,,1099,"Gas South Arena in Duluth, Georgia, USA",AEW Rampage #18,male
71,2021-12-01,All Elite Wrestling,False,Jade Cargill,,Janai Kai,,,,31,"Gas South Arena in Duluth, Georgia, USA",AEW Rampage #18,female
72,2021-12-01,All Elite Wrestling,False,Sammy Guevara,,Tony Nese,,,,773,"Gas South Arena in Duluth, Georgia, USA",AEW Rampage #18,male
73,2021-11-24,All Elite Wrestling,False,"Adam Cole,Bobby Fish",,"Orange Cassidy,Wheeler Yuta",,,,772,"Wintrust Arena in Chicago, Illinois, USA",AEW Rampage #17 - Black Friday,male
74,2021-11-24,All Elite Wrestling,False,Eddie Kingston,,Daniel Garcia,,,,898,"Wintrust Arena in Chicago, Illinois, USA",AEW Rampage #17 - Black Friday,male
75,2021-11-24,All Elite Wrestling,False,Riho,,Dr. Britt Baker DMD,,,,671,"Wintrust Arena in Chicago, Illinois, USA",AEW Rampage #17 - Black Friday,female
76,2021-11-17,All Elite Wrestling,False,Darby Allin,,Billy Gunn,,,,517,"Chartaway Arena in Norfolk, Virginia, USA",AEW Rampage #16,male
77,2021-11-17,All Elite Wrestling,False,"Jungle Boy,Luchasaurus",The Jurassic Express,"Adam Cole,Bobby Fish",,,,929,"Chartaway Arena in Norfolk, Virginia, USA",AEW Rampage #16,male
