id,name,rating,current_gimmick,age,promotion,brand,active_roles,birthplace,gender,height,weight,www,alter_egos,roles,debut,experience,wrestling_style,nicknames,signature_moves,trainer,background,career_end,day_of_death,active
2779,Kevin Knight,,,,,,,"Nutley, New Jersey, USA",male,77.0,249.0,https://twitter.com/KevinKnightNJ;https://www.facebook.com/KevinKnightNJ,Kevin Knight,"Singles Wrestler,Tag Team Wrestler,Promoter,Trainer",19.05.1996,21.0,Techniker,,"Good Knight,Knight Fall,Knight Mare",Rik Ratchett,,29.06.2017,,False
4816,Roman Zachary,,Roman Zachary,,Freelancer,,Singles Wrestler,"Manville, New Jersey, USA",male,,220.0,,"Roman,Roman Zachako,Roman Zachary",Singles Wrestler,,,Techniker,,,Kevin Knight,,,,False
5846,Brad Hunter,,,,,,,"Wilmington, North Carolina, USA",male,73.0,227.0,,"Aldo de Gama,Brad Hunter","Singles Wrestler,Tag Team Wrestler",1999,23.0,Techniker,Bad,Springboard Cross Body,Eddie Golden,,,,False
1381,El Tornado,,El Tornado,,Freelancer,,"Singles Wrestler,Tag Team Wrestler","Sudbury, Ontario, Canada",male,71.0,211.0,,"El Tigre,El Tornado,Tornado,Mark Bartolucci","Singles Wrestler,Tag Team Wrestler",29.03.2000,22.0,Techniker,,"Frog Splash,Unruly Dropkick","Carl LeDuc, Joe E. Legend & Tyson Dux",,,,False
1296,Mike Hughes,,Mike Hughes,47.0,Freelancer,,"Singles Wrestler,Promoter","Stratford, Prince Edward Island, Canada",male,71.0,260.0,https://twitter.com/kowboymh,"Hangman Hughes,Hangman,Mike Hughes,Kowboy Hughes","Singles Wrestler,Promoter",1998,24.0,"Brawler,Powerhouse",Kowboy,"Hughsey Driver,Slingshot Senton",Emile Dupree & Hubert Gallant,,,,False
438,Shark Boy,5.71,Shark Boy,47.0,Freelancer,,"Singles Wrestler,Promoter,Referee,Trainer","Lebanon, Ohio, USA",male,70.0,202.0,http://www.sharkboy.net,"Dean Baldwin,Dean Roll,El Piranha,Shark Boy","Singles Wrestler,Promoter,Referee,Trainer",03.05.1997,25.0,Techniker,,Deep Sea Drop,Les Thatcher & WCW Power Plant,,,,False
883,Apollo Kahn,,,,,,,"Oakland, California, USA",male,70.0,216.0,http://www.facebook.com/darnell.j.taylor;http://twitter.com/DarnellJTaylor,Apollo Kahn,Singles Wrestler,2002,6.0,"Techniker,Powerhouse",,,Donovan Morgan & Michael Modest,,18.04.2008,,False
905,Dino Bambino,,,,,,,"Oshkosh, Wisconsin, USA",male,70.0,220.0,,"Black Ninja,Dino Bambino,Nature",Singles Wrestler,1998,7.0,"Techniker,High Flyer",The Hardcore Luchadore,Dino Bomb,Chris Bassett,,07.10.2005,,False
7328,Gabe Roach,,,,,,,"San Antonio, Texas, USA",male,76.0,264.0,https://www.facebook.com/gabe.roach.9,"Gabe Roach,Johnny Roofy,Ruffy","Singles Wrestler,Tag Team Wrestler",12.1999,22.0,Allrounder,,Black Flag,Rudy Boy Gonzales,,,,False
6246,Shane Andrews,,Shane Andrews,42.0,Freelancer,,Singles Wrestler,"Jefferson City, Tennessee, USA",male,69.0,202.0,http://www.myspace.com/shaneandrews02;http://www.facebook.com/shanebadboyandrews;http://twitter.com/Scrappy0402,Shane Andrews,Singles Wrestler,,,,Bad Boy,,,,,,False
2782,Slaughter,,Slaughter,42.0,Freelancer,,Tag Team Wrestler,"McDonough, Georgia, USA",male,72.0,220.0,,"Johnny Christopher,Johnny Mac,John Slaughter,Johnny Slaughter,Slaughter",Tag Team Wrestler,07.1994,27.0,"Techniker,Powerhouse",,"Manslaughter,Slaughter House",Buddy Lee Parker & Billy Adams,,,,False
8156,Chuck Coates,,,,,,,"Raleigh, North Carolina, USA",male,73.0,271.0,http://www.facebook.com/cc4ncspack;https://twitter.com/maxxcoates,"Chuck Coates,German Stormtrooper #2,Hans Hessler,Madd Maxx,Russian Assassin,Santa Claus","Singles Wrestler,Tag Team Wrestler",1986,36.0,Allrounder,,,,,,,False
