date,promotion,event_type,arena,location,event_name,event_id,match_type,match_length,participant_count,title_ids,title_names,title_change,winner_ids,winner_names,winning_team_ids,winning_team_names,loser_ids,loser_names,losing_team_ids,losing_team_names,drawer_ids,drawer_names,drawing_team_ids,drawing_team_names,gender
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,150.0,4,,,False,"2397,20399","Evil Uno,Ten",2663,The Dark Order,"10721,10785","Eric James,VSK",,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,82.0,8,,,False,"14810,19761,20024,23125","Anthony Bowens,Max Caster,Austin Gunn,Colten Gunn","9635,2808","The Acclaimed,The Gunn Club","21453,-1,-1,20009","Bryce Donovan,GKM,Lucas Chase,Zack Clayton",,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Rampage #41,336562,,622.0,6,,,False,"3497,10334,10343","PAC,Penta Oscuro,Rey Fenix",2678,Death Triangle,"15417,4307,21060","Marq Quen,The Blade,The Butcher",2914,AFO,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,140.0,2,,,False,20207,Bear Bronson,,,4767,Brandon Cutler,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,212.0,4,,,False,"22619,16547","Anna Jay,Yuka Sakazaki",,,"4629,17025","Emi Sakura,Nyla Rose",,,,,,,female
2022-05-11,All Elite Wrestling,TV-Show,Universal Studios,"Orlando, Florida, USA",AEW Dark #143,342525,,360.0,4,,,False,"13732,12703","Keith Lee,Swerve Strickland",,,"171,10297","Luther,Serpentico",9591,Chaos Project,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Rampage #41,336562,,123.0,2,,,False,3190,Shawn Spears,,,19259,Bear Boulder,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Dynamite #136,336561,,32.0,2,,,False,5741,Tony Nese,,,16597,Danhausen,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Dynamite #136,336561,,486.0,2,,,False,80,CM Punk,,,6959,John Silver,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,ROH Women's World Title,332.0,2,5090,ROH Women's World Title,False,1117,Mercedes Martinez,,,20105,Trish Adora,,,,,,,female
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Rampage #41,336562,Owen Hart Foundation Women's Tournament First Round,547.0,2,,,False,12698,Ruby Soho,,,9434,Riho,,,,,,,female
2022-05-11,All Elite Wrestling,TV-Show,UBS Arena,"Elmont, New York, USA",AEW Rampage #41,336562,AEW TNT Title,697.0,2,4578,AEW TNT Title,False,293,Scorpio Sky,,,892,Frankie Kazarian,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,,2,,,False,20207,Bear Bronson,,,4767,Brandon Cutler,,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,,4,,,False,"4629,17025","Emi Sakura,Nyla Rose",,,"22619,16547","Anna Jay,Yuka Sakazaki",,,,,,,female
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,,4,,,False,"13732,12703","Keith Lee,Swerve Strickland",,,"171,10297","Luther,Serpentico",9591,Chaos Project,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,,8,,,False,"14810,19761,20024,23125","Anthony Bowens,Max Caster,Austin Gunn,Colten Gunn","9635,2808","The Acclaimed,The Gunn Club","21453,-1,-1,20009","Bryce Donovan,GKM,Lucas Chase,Zack Clayton",,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,,4,,,False,"2397,20399","Evil Uno,Ten",2663,The Dark Order,"10721,10785","Eric James,VSK",,,,,,,male
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,ROH Women's World Title,,2,5090,ROH Women's World Title,False,1117,Mercedes Martinez,,,20105,Trish Adora,,,,,,,female
2022-05-11,All Elite Wrestling,TV-Show,USB Arena,"Elmont, New York, USA",AEW Dark: Elevation #63,342771,,,2,,,False,18672,Brody King,,,6215,Alex Reynolds,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,,2,,,False,22620,Abadon,,,4629,Emi Sakura,,,,,,,female
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dynamite #135,337473,Owen Hart Foundation Men's Tournament Qualifying,620.0,2,,,False,891,Jeff Hardy,,,1768,Bobby Fish,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dynamite #135,337473,ROH Women's World Title,635.0,2,5090,ROH Women's World Title,True,1117,Mercedes Martinez,,,16263,Deonna Purrazzo,,,,,,,female
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Rampage #40,337474,Owen Hart Foundation Women's Tournament Qualifying,558.0,2,,,False,9434,Riho,,,16547,Yuka Sakazaki,,,,,,,female
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,,2,,,False,17540,Sonny Kiss,,,8148,Peter Avalon,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,,2,,,False,6959,John Silver,,,15749,Tony Deppen,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,,4,,,False,"13732,12703","Keith Lee,Swerve Strickland",,,"18841,7870","Nick Comoroto,QT Marshall",2915,The Factory,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,252.0,2,,,False,17540,Sonny Kiss,,,8148,Peter Avalon,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,,8,,,False,"20186,6215,2397,20399","Alan Angels,Alex Reynolds,Evil Uno,Ten",2663,The Dark Order,"10882,-1,-1,21138","Brandon Scott,Diego,Josh Fuller,Ryan Mooney",,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,267.0,8,,,False,"20186,6215,2397,20399","Alan Angels,Alex Reynolds,Evil Uno,Ten",2663,The Dark Order,"10882,-1,-1,21138","Brandon Scott,Diego,Josh Fuller,Ryan Mooney",,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dynamite #135,337473,Owen Hart Foundation Men's Tournament Qualifying,578.0,2,,,False,10343,Rey Fenix,,,20610,Dante Martin,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,407.0,4,,,False,"13732,12703","Keith Lee,Swerve Strickland",,,"18841,7870","Nick Comoroto,QT Marshall",2915,The Factory,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dark: Elevation #62,342334,,269.0,2,,,False,22620,Abadon,,,4629,Emi Sakura,,,,,,,female
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Rampage #40,337474,,518.0,4,,,False,"12698,15978","Ruby Soho,Toni Storm",,,"17188,18784","Dr. Britt Baker DMD,Jamie Hayter",,,,,,,female
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Rampage #40,337474,,578.0,2,,,False,61,Jay Lethal,,,13073,Konosuke Takeshita,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Rampage #40,337474,,85.0,2,,,False,24607,Hook,,,18677,JD Drake,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dynamite #135,337473,,332.0,2,,,False,16006,Wardlow,,,11618,W. Morrissey,,,,,,,male
2022-05-04,All Elite Wrestling,TV-Show,Chesapeake Employers Insurance Arena,"Baltimore, Maryland, USA",AEW Dynamite #135,337473,,545.0,2,,,False,758,Chris Jericho,,,15052,Santana,,,,,,,male
