id,name,rating,name_of_the_event,date,promotion,type,location,arena,broadcast_type,broadcast_date,tv_station/network,commentary_by,attendance,tv_rating
18340,WWE Friday Night SmackDown #445,3.89,WWE Friday Night SmackDown #445,26.02.2008,World Wrestling Entertainment,TV-Show,"Tucson, Arizona, USA",Tucson Convention Center,Taped,29.02.2008,The CW,Michael Cole & Jonathan Coachman,,2.6
18051,WWE Friday Night SmackDown #444,6.36,WWE Friday Night SmackDown #444,19.02.2008,World Wrestling Entertainment,TV-Show,"San Diego, California, USA",ipayOne Center,Taped,22.02.2008,The CW,Michael Cole & Jonathan Coachman,,2.8
17679,WWE Friday Night SmackDown #443,5.17,WWE Friday Night SmackDown #443,06.02.2008,World Wrestling Entertainment,TV-Show,"Houston, Texas, USA",Toyota Center,Taped,15.02.2008,The CW,Michael Cole & Jonathan Coachman,14.307,2.8
17657,WWE Friday Night SmackDown #442,3.45,WWE Friday Night SmackDown #442,05.02.2008,World Wrestling Entertainment,TV-Show,"Corpus Christi, Texas, USA",American Bank Center,Taped,08.02.2008,The CW,Michael Cole & Jonathan Coachman,,2.7
17448,WWE Friday Night SmackDown #441,6.33,WWE Friday Night SmackDown #441,29.01.2008,World Wrestling Entertainment,TV-Show,"Reading, Pennsylvania, USA",Sovereign Center,Taped,01.02.2008,The CW,Jonathan Coachman & Michael Cole,,2.8
17194,WWE Friday Night SmackDown #440,5.85,WWE Friday Night SmackDown #440,22.01.2008,World Wrestling Entertainment,TV-Show,"Charlottesville, Virginia, USA",John Paul Jones Arena,Taped,25.01.2008,The CW,Jonathan Coachman & Michael Cole,,2.7
16908,WWE Friday Night SmackDown #439,5.43,WWE Friday Night SmackDown #439,15.01.2008,World Wrestling Entertainment,TV-Show,"Birmingham, Alabama, USA",BJCC Arena,Taped,18.01.2008,The CW,Michael Cole & Jonathan Coachman,,2.8
16466,WWE Friday Night SmackDown #438,6.08,WWE Friday Night SmackDown #438,08.01.2008,World Wrestling Entertainment,TV-Show,"Wilkes-Barre, Pennsylvania, USA",Wachovia Center,Taped,11.01.2008,The CW,Michael Cole & Jonathan Coachman,7.000,2.8
16060,WWE Friday Night SmackDown #437,6.63,WWE Friday Night SmackDown #437,30.12.2007,World Wrestling Entertainment,TV-Show,"Richmond, Virginia, USA",,Taped,04.01.2008,The CW,Michael Cole & Jonathan Coachman,,2.9
15517,WWE Friday Night SmackDown #435,5.55,WWE Friday Night SmackDown #435,18.12.2007,World Wrestling Entertainment,TV-Show,"Rochester, New York, USA",Blue Cross Arena,Taped,21.12.2007,The CW,"Michael Cole, John Bradshaw Layfield & Tazz",,
15349,WWE Friday Night SmackDown #434,6.0,WWE Friday Night SmackDown #434,11.12.2007,World Wrestling Entertainment,TV-Show,"Boston, Massachusetts, USA",TD Banknorth Garden,Taped,14.12.2007,The CW,John Bradshaw Layfield & Michael Cole,,2.7
15184,WWE Friday Night SmackDown #433,6.8,WWE Friday Night SmackDown #433,02.12.2007,World Wrestling Entertainment,TV-Show,"Roanoke, Virginia, USA",Civic Center,Taped,07.12.2007,The CW,Michael Cole & John Bradshaw Layfield,,
15090,WWE Friday Night SmackDown #432,6.33,WWE Friday Night SmackDown #432,27.11.2007,World Wrestling Entertainment,TV-Show,"Roanoke, Virginia, USA",Civic Center,Taped,30.11.2007,The CW,John Bradshaw Layfield & Michael Cole,,2.7
15002,WWE Friday Night SmackDown #431,6.89,WWE Friday Night SmackDown #431,20.11.2007,World Wrestling Entertainment,TV-Show,"Tampa, Florida, USA",St. Pete Times Forum,Taped,23.11.2007,The CW,John Bradshaw Layfield & Michael Cole,,
14751,WWE Friday Night SmackDown #430,6.44,WWE Friday Night SmackDown #430,13.11.2007,World Wrestling Entertainment,TV-Show,"Wichita, Kansas, USA",Kansas Coliseum,Taped,16.11.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.7
14554,WWE Friday Night SmackDown #429,6.43,WWE Friday Night SmackDown #429,06.11.2007,World Wrestling Entertainment,TV-Show,"Bakersfield, California, USA",Rabobank Arena,Taped,09.11.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.9
14438,WWE Friday Night SmackDown #428,6.2,WWE Friday Night SmackDown #428,30.10.2007,World Wrestling Entertainment,TV-Show,"Long Island, New York, USA",Nassau Coliseum,Taped,02.11.2007,lokale TV Sender (USA),Michael Cole & John Bradshaw Layfield,,2.8
14349,WWE Friday Night SmackDown #427,5.33,WWE Friday Night SmackDown #427,23.10.2007,World Wrestling Entertainment,TV-Show,"Kansas City, Missouri, USA",Sprint Center,Taped,26.10.2007,The CW,Michael Cole & John Bradshaw Layfield,,
14170,WWE Friday Night SmackDown #426,4.82,WWE Friday Night SmackDown #426,16.10.2007,World Wrestling Entertainment,TV-Show,"Birmingham, West Midlands, England, UK",National Indoor Arena,Taped,19.10.2007,The CW,Michael Cole & John Bradshaw Layfield,,
14038,WWE Friday Night SmackDown #425,6.11,WWE Friday Night SmackDown #425,09.10.2007,World Wrestling Entertainment,TV-Show,"Detroit, Michigan, USA",Joe Louis Arena,Taped,12.10.2007,lokale TV Sender (USA),Michael Cole & John Bradshaw Layfield,,
13965,WWE Friday Night SmackDown #424,5.5,WWE Friday Night SmackDown #424,02.10.2007,World Wrestling Entertainment,TV-Show,"Dayton, Ohio, USA",Nutter Center,Taped,05.10.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.5
13901,WWE Friday Night SmackDown #423,4.57,WWE Friday Night SmackDown #423,25.09.2007,World Wrestling Entertainment,TV-Show,"Indianapolis, Indiana, USA",Canseco Fieldhouse,Taped,28.09.2007,The CW,Michael Cole & John Bradshaw Layfield,,
13794,WWE Friday Night SmackDown #422,4.75,WWE Friday Night SmackDown #422,18.09.2007,World Wrestling Entertainment,TV-Show,"Atlanta, Georgia, USA",Philips Arena,Taped,21.09.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.7
13674,WWE Friday Night SmackDown #421,5.78,WWE Friday Night SmackDown #421,09.09.2007,World Wrestling Entertainment,TV-Show,"Minneapolis, Minnesota, USA",Target Center,Taped,14.09.2007,The CW,Michael Cole & John Bradshaw Layfield,,
13444,WWE Friday Night SmackDown #420,6.75,WWE Friday Night SmackDown #420,01.09.2007,World Wrestling Entertainment,TV-Show,"Cincinnati, Ohio, USA",US Bank Arena,Taped,07.09.2007,The CW,Michael Cole & John Bradshaw Layfield,,2.3
