id,date,text,hashtags,name_mentions,handle_mentions,source,likes,retweets
1520946183396544512,2022-05-02 02:00:02+00:00,"Who wants a match with @VeerMahaan?

#WWERaw https://t.co/gAVh8hKiGZ",WWERaw,Veer Mahaan,VeerMahaan,Sprinklr Publishing,950,82
1520931077019377665,2022-05-02 01:00:00+00:00,Where should Butch go next?! 👀,,,,Sprinklr Publishing,1427,112
1520915974467248131,2022-05-02 00:00:00+00:00,What's your all-time favorite @WWEAsuka moment?,,ASUKA / 明日華,WWEAsuka,Sprinklr Publishing,889,82
1520900883151785984,2022-05-01 23:00:02+00:00,"#TheBloodline returns to #WWERaw tomorrow night just days before #WMBacklash!

@WWERomanReigns @WWEUsos… https://t.co/jvjV5QbMt6","TheBloodline,WWERaw,WMBacklash","Roman Reigns,The Usos","WWERomanReigns,WWEUsos",Sprinklr Publishing,2033,306
1520885783716155393,2022-05-01 22:00:02+00:00,What's @RandyOrton thinkin' about? 🤔 https://t.co/Eq4WH6C7nc,,Randy Orton,RandyOrton,Sprinklr Publishing,3020,214
1520872425549836288,2022-05-01 21:06:57+00:00,Rough night for @SamiZayn! #WWELeipzig https://t.co/ed1lKcMKEO,WWELeipzig,Sami Zayn,SamiZayn,Twitter for iPhone,2128,251
1520870927831080968,2022-05-01 21:01:00+00:00,"Everyone is tough until the man comes ’round

@BeckyLynchWWE #WWERaw https://t.co/KQcXGlj85a",WWERaw,The Man,BeckyLynchWWE,Grabyo,2195,274
1520840483588747265,2022-05-01 19:00:01+00:00,"Welcome back, @WWEAsuka! https://t.co/kY5EmfWDlg",,ASUKA / 明日華,WWEAsuka,Sprinklr Publishing,17168,1006
1520825761900503040,2022-05-01 18:01:31+00:00,It was absolute magic when Eddie Guerrero met @DaveBautista for the first time on #SmackDown. ❤️ https://t.co/EjU8kxZO3N,SmackDown,Vaxxed AF! #TeamPfizer Poor Kid Chasing Dreams.,DaveBautista,Grabyo,1227,209
1520818059572822025,2022-05-01 17:30:55+00:00,What was @WWERollins looking for on #WWERaw? 🤔 https://t.co/slR7J06l0v,WWERaw,Seth FREAKIN’ Rollins,WWERollins,Grabyo,990,108
1520810578696101890,2022-05-01 17:01:11+00:00,"TOMORROW NIGHT on #WWERaw
#TheBloodline returns to the red brand ahead of #WMBacklash!
📺 8/7c @USA_Network… https://t.co/KoefBnYXob","WWERaw,TheBloodline,WMBacklash",USA Network,USA_Network,Grabyo,1135,245
1520795805589909506,2022-05-01 16:02:29+00:00,"Watch thrilling debuts by members of the Anoa’i family dynasty, featuring @WWERomanReigns, @TheRock, @WWEUsos and m… https://t.co/A6C3l6VZKg",,"Roman Reigns,Dwayne Johnson,The Usos","WWERomanReigns,TheRock,WWEUsos",Grabyo,1543,293
1520780086722674689,2022-05-01 15:00:02+00:00,Who snapped the most must-see Instagram photos of the week? 📸 https://t.co/Gcm4tv2Xbq https://t.co/9lqVfNIPJv,,,,Sprinklr Publishing,2415,152
