id,date,text,hashtags,name_mentions,handle_mentions,source,likes,retweets
1556120934360260608,2022-08-07 03:31:56+00:00,Relive all the epic moments from a memorable #SummerSlam! https://t.co/NO8PEExYIj,SummerSlam,,,Grabyo,138,27
1556104681834831872,2022-08-07 02:27:21+00:00,.@NXTCiampa shows no fear towards the Almighty @fightbobby. 😳🔥 #WWERaw #WWECharleston https://t.co/2IACHCk7z0,"WWERaw,WWECharleston","BLACKHEART,Bobby Lashley","NXTCiampa,fightbobby",Twitter for iPhone,1137,146
1556097797656567808,2022-08-07 02:00:00+00:00,"Take flight.

@KingRicochet #SmackDown https://t.co/tCw0i1QgEU",SmackDown,Ricochet,KingRicochet,Sprinklr Publishing,1381,104
1556067598923694081,2022-08-07 00:00:00+00:00,"NEXT WEEK on #SmackDown 

@Gunther_AUT defends the #ICTitle against @ShinsukeN!

https://t.co/Y0KppsqHbc https://t.co/0RF2ts2CKH","SmackDown,ICTitle","GUNTHER,Shinsuke Nakamura","Gunther_AUT,ShinsukeN",Sprinklr Publishing,1855,193
1556037399204995074,2022-08-06 22:00:00+00:00,".@QoSBaszler plans to take another limb at #WWECastle, @TrueKofi is happy to have avenged @AustinCreedWins, and… https://t.co/1ElsWcc8T9",WWECastle,"Shayna Baszler,Kendo Kingston,Austin Creed","QoSBaszler,TrueKofi,AustinCreedWins",Sprinklr Publishing,539,94
1556022299144458241,2022-08-06 21:00:00+00:00,"It was a crazy night on the blue brand, so who took home the top spot in this week's #SmackDown #WWETop10? https://t.co/LgybOptluY","SmackDown,WWETop10",,,Sprinklr Publishing,886,108
1555992101745295361,2022-08-06 19:00:00+00:00,"#TheBloodline looked to teach @FinnBalor a lesson 1 year ago today on #SmackDown.

@WWEUsos @WWERomanReigns https://t.co/4FRQpPKAFF","TheBloodline,SmackDown","Finn Bálor,The Usos,Roman Reigns","FinnBalor,WWEUsos,WWERomanReigns",Sprinklr Publishing,1437,224
1555977003085570049,2022-08-06 18:00:00+00:00,"Don’t miss the epic story between WWE and #WCW on WWE Rivals, tomorrow at 10/9c on @AETV. #WWEonAE https://t.co/cH3MRTKOsL","WCW,WWEonAE",A&E,AETV,Sprinklr Publishing,624,115
1555961903578595328,2022-08-06 17:00:00+00:00,"Tick. Tock. ⏳ 

@realKILLERkross @Lady_Scarlett13 #SmackDown https://t.co/DIzVs0dASN",SmackDown,"Killer Kross,Scarlett Bordeaux","realKILLERkross,Lady_Scarlett13",Sprinklr Publishing,8510,737
1555946878205927425,2022-08-06 16:00:18+00:00,"You know who's VERY ready for #WWECastle in Cardiff, Wales? @JohnCena!

And he can't wait to see how loud… https://t.co/M9k2qE1iWd",WWECastle,John Cena,JohnCena,Sprinklr Publishing,3820,530
1555931704300380160,2022-08-06 15:00:00+00:00,"Get a candid look behind the scenes of #SummerSlam 

📸: https://t.co/nbFBmMNXl0 https://t.co/ROPR8KPdOB",SummerSlam,,,Sprinklr Publishing,6066,525
1555916605787348996,2022-08-06 14:00:01+00:00,.@GenuineLexLuger quickly made a name for himself. Learn more about his story in and out of the ring during an all-… https://t.co/ea5iPrOwG3,,Lex Luger,GenuineLexLuger,Sprinklr Publishing,654,89
1555780710006460416,2022-08-06 05:00:00+00:00,".@realKILLERkross returned and ambushed @DMcIntyreWWE, sending a message to @WWERomanReigns.

Full #SmackDown resul… https://t.co/SPg0CO6HD5",SmackDown,"Killer Kross,Drew McIntyre,Roman Reigns","realKILLERkross,DMcIntyreWWE,WWERomanReigns",Sprinklr Publishing,8073,749
1555747401478115328,2022-08-06 02:47:39+00:00,#SmackDown Women’s Champion @YaOnlyLivvOnce knows that @QoSBaszler will attack her arm but Morgan knows something t… https://t.co/hQgMzxtL1r,SmackDown,"LIV Morgan,Shayna Baszler","YaOnlyLivvOnce,QoSBaszler",Sprinklr Publishing,2770,418
1555746772538064896,2022-08-06 02:45:09+00:00,"Fresh off his win over Happy @BaronCorbinWWE, @KingRicochet explains why he is the attraction and that the momentum… https://t.co/T9KVHZ24ZF",,"mayor of jackpot city,Ricochet","BaronCorbinWWE,KingRicochet",Sprinklr Publishing,1380,183
1555746594850488320,2022-08-06 02:44:27+00:00,".@YaOnlyLivvOnce will defend her #SmackDown Women's Championship against @QoSBaszler at #WWECastle! 

🎟️… https://t.co/baEH5KocLc","SmackDown,WWECastle","LIV Morgan,Shayna Baszler","YaOnlyLivvOnce,QoSBaszler",Sprinklr Publishing,7624,927
1555738578415763456,2022-08-06 02:12:35+00:00,WWE Official @ScrapDaddyAP announces that a monumental WWE Women’s Tag Team Championship Tournament will begin this… https://t.co/SmUcqVvMXd,,Adam Pearce,ScrapDaddyAP,Sprinklr Publishing,3747,606
1555736130871508993,2022-08-06 02:02:52+00:00,"Doomsday has arrived.

@realKILLERkross sends a message to @WWERomanReigns! 

@Lady_Scarlett13 #SmackDown https://t.co/2CS3x0GZS8",SmackDown,"Killer Kross,Roman Reigns,Scarlett Bordeaux","realKILLERkross,WWERomanReigns,Lady_Scarlett13",Grabyo,21902,3349
1555735331978231808,2022-08-06 01:59:41+00:00,"Business just picked up!

@realKILLERkross has taken out @DMcIntyreWWE on #SmackDown! https://t.co/f53VjJhvFn",SmackDown,"Killer Kross,Drew McIntyre","realKILLERkross,DMcIntyreWWE",Grabyo,17277,3086
1555734175327592451,2022-08-06 01:55:06+00:00,"ACKNOWLEDGE YOUR TRIBAL CHIEF

@WWERomanReigns @HeymanHustle #SmackDown https://t.co/QleWmf1wvr",SmackDown,"Roman Reigns,Paul Heyman","WWERomanReigns,HeymanHustle",Grabyo,4216,697
1555732523396857861,2022-08-06 01:48:32+00:00,"The champ is here! 

@WWERomanReigns @HeymanHustle #SmackDown https://t.co/iSc5jrVhSS",SmackDown,"Roman Reigns,Paul Heyman","WWERomanReigns,HeymanHustle",Grabyo,2976,601
1555731880904884224,2022-08-06 01:45:59+00:00,"BREAKING NEWS: A tournament to crown new WWE Women's Tag Team Champions will begin Monday on #WWERaw!

Who would yo… https://t.co/sJCjaDCCbG",WWERaw,,,Grabyo,17258,2379
1555731164689735681,2022-08-06 01:43:08+00:00,.@TrueKofi is looking for some payback but @Erik_WWE has other ideas. #SmackDown https://t.co/OPm0gwfTb6,SmackDown,"Kendo Kingston,Erik","TrueKofi,Erik_WWE",Grabyo,980,183
1555729753361059840,2022-08-06 01:37:31+00:00,.@TrueKofi is going crazy with a Kendo stick! #SmackDown https://t.co/ziw1kJkR1T,SmackDown,🎅🏿 Sir Kofi Krampus 🎅🏿,TrueKofi,Grabyo,1481,246
1555729284194570240,2022-08-06 01:35:40+00:00,"Good morning. 
Good afternoon. 
Good night. 

The #VikingRaiders DOMINATE on #SmackDown https://t.co/n2QFF0PdBl","VikingRaiders,SmackDown",,,Grabyo,932,191
1555728181092556801,2022-08-06 01:31:17+00:00,"Not exactly what @SamiZayn wanted to hear from #TheBloodline...

@WWEUsos #SmackDown https://t.co/blZmYcx5CQ","TheBloodline,SmackDown","Sami Zayn,The Usos","SamiZayn,WWEUsos",Grabyo,3421,516
1555727638093873154,2022-08-06 01:29:07+00:00,.@QoSBaszler has her eyes set on that #SmackDown Women's Championship and @YaOnlyLivvOnce's injured arm at… https://t.co/GM2ch4Sbyy,SmackDown,"Shayna Baszler,LIV Morgan","QoSBaszler,YaOnlyLivvOnce",Grabyo,3021,500
1555727143174344704,2022-08-06 01:27:09+00:00,.@QoSBaszler is on a mission to earn herself a title shot at #WWECastle! https://t.co/J5TWDCp4Zq,WWECastle,Shayna Baszler,QoSBaszler,Grabyo,1320,240
1555725421022531584,2022-08-06 01:20:19+00:00,Can @RaquelWWE pull this off?! #SmackDown https://t.co/pk5jb3Klj0,SmackDown,Raquel,RaquelWWE,Grabyo,1190,251
1555722499941453826,2022-08-06 01:08:42+00:00,"Like it or not, @YaOnlyLivvOnce is still here as #SmackDown Women's Champion. https://t.co/qbIFthceLP",SmackDown,LIV Morgan,YaOnlyLivvOnce,Grabyo,5290,720
1555718528963158022,2022-08-06 00:52:55+00:00,"UP NEXT on #SmackDown

@YaOnlyLivvOnce https://t.co/QyWPviAaG6",SmackDown,LIV Morgan,YaOnlyLivvOnce,Grabyo,2180,279
1555717926476554241,2022-08-06 00:50:32+00:00,"NEXT WEEK on #SmackDown

@ShinsukeN vs. @Gunther_AUT for the #ICTitle! https://t.co/w7WiPXbb2U","SmackDown,ICTitle","Shinsuke Nakamura,GUNTHER","ShinsukeN,Gunther_AUT",Grabyo,3076,469
1555716496550236163,2022-08-06 00:44:51+00:00,"Can @ShinsukeN earn himself a #ICTitle Match against @Gunther_AUT?

@wwe_kaiser #SmackDown https://t.co/YcAE5Cib7O","ICTitle,SmackDown","Shinsuke Nakamura,GUNTHER,𝐋𝐮𝐝𝐰𝐢𝐠 𝐊𝐚𝐢𝐬𝐞𝐫","ShinsukeN,Gunther_AUT,wwe_kaiser",Grabyo,1284,260
1555714414585810946,2022-08-06 00:36:34+00:00,Who takes home the win? #SmackDown,SmackDown,,,Twitter Web App,823,123
1555711986662604802,2022-08-06 00:26:56+00:00,"YOU STILL GOT IT 👏👏👏

@PatMcAfeeShow #SmackDown https://t.co/FxIhuSSME5",SmackDown,Pat McAfee,PatMcAfeeShow,Grabyo,3425,482
1555711567173410816,2022-08-06 00:25:15+00:00,"Maybe you should have focused on @KingRicochet instead of @PatMcAfeeShow, @BaronCorbinWWE 🤷‍♂️

#SmackDown https://t.co/omeTNfX0Cw",SmackDown,"Ricochet,Pat McAfee,mayor of jackpot city","KingRicochet,PatMcAfeeShow,BaronCorbinWWE",Grabyo,1998,322
1555710465065586688,2022-08-06 00:20:53+00:00,"Launched into orbit 😳

@BaronCorbinWWE #SmackDown https://t.co/krjsSPenTA",SmackDown,mayor of jackpot city,BaronCorbinWWE,Grabyo,1291,253
1555707546006175744,2022-08-06 00:09:17+00:00,What will @WWERomanReigns have to say TONIGHT on #SmackDown? https://t.co/M7LCcmw9T3,SmackDown,Roman Reigns,WWERomanReigns,Grabyo,5402,592
1555707344377495552,2022-08-06 00:08:29+00:00,"#TheBloodline has arrived to #SmackDown!

@WWERomanReigns @WWEUsos @HeymanHustle https://t.co/WcS8tGTfW0","TheBloodline,SmackDown","Roman Reigns,The Usos,Paul Heyman","WWERomanReigns,WWEUsos,HeymanHustle",Grabyo,3895,683
1555675013646143488,2022-08-05 22:00:00+00:00,WWE Superstars talk about how @reymysterio influenced their respective careers and revolutionized sports-entertainm… https://t.co/BCWCvy66hy,,♛Rey Mysterio❔,reymysterio,Sprinklr Publishing,1716,370
1555659914420391937,2022-08-05 21:00:01+00:00,"The #VikingRaiders took things too far on #SmackDown 

@Erik_WWE @Ivar_WWE @AustinCreedWins https://t.co/tzu2fQDRma","VikingRaiders,SmackDown","Erik,Ivar,Austin Creed","Erik_WWE,Ivar_WWE,AustinCreedWins",Sprinklr Publishing,904,117
